date,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,leagueName,description,teamOrder,possessionPct,foulsCommitted,offsides,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,country,teamRank,wins,ties,losses,points,gf,ga,gd,season,day_type
2024-11-23 17:00:00,True,False,3,0,USL Championship,Full Time,Home,54.9,15.0,0.0,13.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,USA,,,,,,,,,Fall,Weekend
2024-11-23 17:00:00,True,False,3,0,USL Championship,Full Time,Away,45.1,18.0,0.0,9.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,USA,,,,,,,,,Fall,Weekend
2024-11-17 02:00:00,True,False,1,0,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-17 02:00:00,True,False,1,0,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-17 00:00:00,False,True,1,2,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-17 00:00:00,False,True,1,2,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 02:30:00,False,True,0,1,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 02:30:00,False,True,0,1,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 23:30:00,True,False,2,1,USL Championship,Final Score - After Extra Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 23:30:00,True,False,2,1,USL Championship,Final Score - After Extra Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 00:30:00,False,True,0,3,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 00:30:00,False,True,0,3,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 20:00:00,True,False,2,1,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-10 20:00:00,True,False,2,1,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-02 02:30:00,True,False,0,0,USL Championship,Final Score - After Penalties,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-02 02:30:00,True,False,0,0,USL Championship,Final Score - After Penalties,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-02 18:00:00,False,True,0,1,USL Championship,Final Score - After Extra Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-02 18:00:00,False,True,0,1,USL Championship,Final Score - After Extra Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-03 00:00:00,True,False,2,0,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-03 00:00:00,True,False,2,0,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-04 01:00:00,True,False,2,1,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekday
2024-11-04 01:00:00,True,False,2,1,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekday
2024-11-02 22:30:00,True,False,1,0,USL Championship,Full Time,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-02 22:30:00,True,False,1,0,USL Championship,Full Time,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-02 23:00:00,False,True,1,1,USL Championship,Final Score - After Penalties,Home,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
2024-11-02 23:00:00,False,True,1,1,USL Championship,Final Score - After Penalties,Away,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,Fall,Weekend
